date,time,temperature,humidity,luminosity
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.5,pitch black
2021-11-4,21:00:00,21.3,35.3,pitch black
2021-11-4,21:00:00,21.4,35.5,pitch black
2021-11-4,21:00:00,21.3,35.5,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.4,35.4,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.4,35.4,pitch black
2021-11-4,21:00:00,21.4,35.4,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.4,35.5,pitch black
2021-11-4,21:00:00,21.4,35.5,pitch black
2021-11-4,21:00:00,21.4,35.5,pitch black
2021-11-4,21:00:00,21.4,35.5,pitch black
2021-11-4,21:00:00,21.3,35.4,pitch black
2021-11-4,21:00:00,21.4,35.3,pitch black
2021-11-4,21:00:00,21.4,35.5,pitch black
2021-11-4,21:00:00,21.4,35.5,pitch black
2021-11-4,21:00:00,21.4,31.9,pitch black
2021-11-4,21:00:00,21.4,36.9,pitch black
2021-11-4,21:00:00,21.4,37.0,pitch black
2021-11-4,21:00:00,21.4,29.7,pitch black
2021-11-4,21:00:00,21.4,36.9,pitch black
2021-11-4,22:00:00,21.4,37.0,pitch black
2021-11-4,22:00:00,21.4,36.9,pitch black
2021-11-4,22:00:00,21.4,37.0,pitch black
2021-11-4,22:00:00,21.4,32.9,pitch black
2021-11-4,22:00:00,21.4,32.9,pitch black
2021-11-4,22:00:00,21.4,32.9,pitch black
2021-11-4,22:00:00,21.4,34.6,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.9,pitch black
2021-11-4,22:00:00,21.4,34.7,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.7,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.9,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.9,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.8,pitch black
2021-11-4,22:00:00,21.4,34.9,pitch black
2021-11-4,22:00:00,21.4,34.8,very bright
2021-11-4,22:00:00,21.4,34.9,very bright
2021-11-4,22:00:00,21.4,35.6,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.4,35.7,very bright
